Question,Answer,Source,Verb,Target
Explain the connection between different metallic oxides and different colours.,different metallic oxides impart different colours,different metallic oxides,impart,different colours
How are different metallic oxides and different colours related?,different metallic oxides impart different colours,different metallic oxides,impart,different colours
What does different metallic oxides impart?,colours,different metallic oxides,impart,different colours
Who or what imparts different colours?,metallic oxides,different metallic oxides,impart,different colours
What is the relationship between various conditions and these changes?,influence the outcome of the experiment,various conditions,bring,these changes
Explain the connection between various conditions and these changes.,a change in the environment,various conditions,bring,these changes
How are various conditions and these changes related?,bring these changes,various conditions,bring,these changes
What does various conditions bring?,changes,various conditions,bring,these changes
Who or what brings these changes?,various conditions,various conditions,bring,these changes
What is the relationship between what mass and science?,is a measure of,what mass,wind,science
Explain the connection between what mass and science.,wind,what mass,wind,science
How are what mass and science related?,wind,what mass,wind,science
What does what mass wind?,kinetic energy,what mass,wind,science
Who or what winds science?,mass wind science,what mass,wind,science
What is the relationship between a moving magnet and an electric current?,electromagnet,a moving magnet,induce,an electric current
Explain the connection between a moving magnet and an electric current.,a moving magnet induces an electric current,a moving magnet,induce,an electric current
How are a moving magnet and an electric current related?,a moving magnet induces an electric current,a moving magnet,induce,an electric current
What induces an electric current?,moving magnet,a moving magnet,induce,an electric current
What does a moving magnet induce?,electric current,a moving magnet,induce,an electric current
Who or what induces an electric current?,a moving magnet,a moving magnet,induce,an electric current
What is the relationship between the part and rise?,part of,the part,give,rise
Explain the connection between the part and rise.,the part of the body that gives rise,the part,give,rise
How are the part and rise related?,part,the part,give,rise
What does the part give?,rise,the part,give,rise
Who or what gives rise?,the part,the part,give,rise
What is the relationship between the hyper secretion and the high blood pressure?,hyper secretion,the hyper secretion,increase,the high blood pressure
Explain the connection between the hyper secretion and the high blood pressure.,hyper secretion,the hyper secretion,increase,the high blood pressure
How are the hyper secretion and the high blood pressure related?,hyper secretion increase the high blood pressure,the hyper secretion,increase,the high blood pressure
What increases the high blood pressure?,hyper secretion,the hyper secretion,increase,the high blood pressure
What does the hyper secretion increase?,high blood pressure,the hyper secretion,increase,the high blood pressure
Who or what increases the high blood pressure?,hyper secretion,the hyper secretion,increase,the high blood pressure
What is the relationship between the manufacture and urea?,is a metabolite of urea,the manufacture,like,urea
Explain the connection between the manufacture and urea.,the manufacture like urea,the manufacture,like,urea
How are the manufacture and urea related?,the manufacture like urea,the manufacture,like,urea
What does the manufacture like?,urea,the manufacture,like,urea
Who or what likes urea?,the manufacture,the manufacture,like,urea
What is the relationship between blood and oxygen?,is a nonrenewable resource,blood,supply,oxygen
Explain the connection between blood and oxygen.,is a component of the body's system,blood,supply,oxygen
How are blood and oxygen related?,oxygen atoms,blood,supply,oxygen
Who or what supply oxygen?,blood,blood,supply,oxygen
What is the relationship between activity and a glass?,is a glass,activity,fill,a glass
Explain the connection between activity and a glass.,a glass is made of glass,activity,fill,a glass
How are activity and a glass related?,activity fills a glass,activity,fill,a glass
Who or what fills a glass?,activity,activity,fill,a glass
What is the relationship between an object and kinetic energy?,object's source of energy,an object,possess,kinetic energy
Explain the connection between an object and kinetic energy.,kinetic energy is a measure of the speed of a movable object.,an object,possess,kinetic energy
How are an object and kinetic energy related?,objects possess kinetic energy,an object,possess,kinetic energy
What does an object possess?,kinetic energy,an object,possess,kinetic energy
Who or what possess kinetic energy?,object,an object,possess,kinetic energy
What is the relationship between electricity and very high wave temperature?,power source,electricity,need,very high wave temperature
